N,agent,mode,tau,K,seed,accept_rate,offers_seen_mean,wall_ms_mean,w_hat
100,satisficer,k_search,,5,1001,0.2735416666666667,1.4838541666666665,0.0061645833333333335,0.17280027083333332
100,satisficer,k_search,,5,1002,0.275625,1.4711805555555557,0.006579861111111112,0.16066331944444445
100,satisficer,k_search,,5,1003,0.27024305555555556,1.4482986111111111,0.0067761111111111095,0.17510276041666667
100,satisficer,k_search,,5,1004,0.2794097222222222,1.5282986111111112,0.006577881944444444,0.1903719861111111
200,satisficer,k_search,,1,1000,0.2707465277777778,0.2912152777777778,0.012753802083333331,0.17916818055555553
200,satisficer,k_search,,1,1001,0.27359375,0.30501736111111116,0.013217986111111111,0.21824717708333333
200,satisficer,k_search,,1,1002,0.2748263888888889,0.2990451388888889,0.013002100694444442,0.18408466666666667
200,satisficer,k_search,,1,1003,0.2725520833333333,0.29647569444444444,0.01306105902777778,0.19823643055555557
200,satisficer,k_search,,1,1004,0.27541666666666664,0.3061979166666667,0.012971874999999999,0.2060154201388889
200,satisficer,k_search,,3,1000,0.2707465277777778,0.8710243055555558,0.01365267361111111,0.17916818055555553
200,satisficer,k_search,,3,1001,0.27359375,0.9136111111111112,0.013156857638888887,0.21824717708333333
200,satisficer,k_search,,3,1002,0.2748263888888889,0.8966666666666666,0.01323517361111111,0.18408466666666667
200,satisficer,k_search,,3,1003,0.2725520833333333,0.8885590277777777,0.013435607638888888,0.19823643055555557
200,satisficer,k_search,,3,1004,0.27541666666666664,0.9180902777777779,0.01301746527777778,0.2060154201388889
200,satisficer,k_search,,5,1000,0.2707465277777778,1.448020833333333,0.013517829861111113,0.17916818055555553
200,satisficer,k_search,,5,1001,0.27359375,1.5199826388888888,0.012947170138888887,0.21824717708333333
200,satisficer,k_search,,5,1002,0.2748263888888889,1.4938368055555555,0.01258597222222222,0.18408466666666667
200,satisficer,k_search,,5,1003,0.2725520833333333,1.4797569444444445,0.013233524305555557,0.19823643055555557
200,satisficer,k_search,,5,1004,0.27541666666666664,1.5282638888888889,0.013105121527777779,0.2060154201388889
500,satisficer,k_search,,1,1000,0.27186805555555554,0.2969166666666666,0.028079208333333334,0.21031764583333334
500,satisficer,k_search,,1,1001,0.27455555555555555,0.30367361111111113,0.027499729166666664,0.22625593402777777
500,satisficer,k_search,,1,1002,0.2761875,0.2979513888888889,0.02762207638888889,0.20092157986111112
500,satisficer,k_search,,1,1003,0.27391666666666664,0.3006458333333334,0.027498729166666663,0.21258018750000002
500,satisficer,k_search,,1,1004,0.2764027777777778,0.30571527777777785,0.02740372222222222,0.22945559375000002
500,satisficer,k_search,,3,1000,0.27186805555555554,0.8851180555555556,0.0275675,0.21031764583333334
500,satisficer,k_search,,3,1001,0.27455555555555555,0.9107291666666667,0.027459472222222225,0.22625593402777777
500,satisficer,k_search,,3,1002,0.2761875,0.8933888888888889,0.027830437500000003,0.20092157986111112
500,satisficer,k_search,,3,1003,0.27391666666666664,0.9009652777777777,0.02754047916666667,0.21258018750000002
500,satisficer,k_search,,3,1004,0.2764027777777778,0.9169236111111112,0.027403388888888887,0.22945559375000002
500,satisficer,k_search,,5,1000,0.27186805555555554,1.4714791666666664,0.027587319444444442,0.21031764583333334
500,satisficer,k_search,,5,1001,0.27455555555555555,1.5156458333333334,0.02759522916666667,0.22625593402777777
500,satisficer,k_search,,5,1002,0.2761875,1.4883888888888888,0.02773334027777778,0.20092157986111112
500,satisficer,k_search,,5,1003,0.27391666666666664,1.4998958333333334,0.02741489583333333,0.21258018750000002
500,satisficer,k_search,,5,1004,0.2764027777777778,1.5275763888888887,0.027392173611111112,0.22945559375000002
50,satisficer,k_greedy,,1,1000,0.2658333333333333,0.2821527777777778,0.003553541666666666,0.3343869479166666
50,satisficer,k_greedy,,1,1001,0.27923611111111113,0.311875,0.003417916666666667,0.3837400833333333
50,satisficer,k_greedy,,1,1002,0.2797222222222222,0.2956944444444444,0.003813888888888889,0.38218409722222224
50,satisficer,k_greedy,,1,1003,0.2734027777777778,0.2902777777777778,0.0032387500000000003,0.36196703472222225
50,satisficer,k_greedy,,1,1004,0.2760416666666667,0.29659722222222223,0.003249166666666666,0.37655777777777777
50,satisficer,k_greedy,,3,1000,0.2856944444444444,0.8085416666666667,0.0028583333333333334,0.4303569236111111
50,satisficer,k_greedy,,3,1001,0.35138888888888886,0.971111111111111,0.0028097222222222217,0.5628631215277777
